overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,False,"05 8, 2001",A19ZDXKDX9NMDU,B00004OCYH,Jeff,"This game could have been so much more.  The hack and slash action is not even fun, it just get's tedious and boring.  I have to admit the graphic's are spectacular, but that does not make this a great game.  Rune contains lot's of jumping from object to object, which will get boring after they first introduce it into the game.  The game also had no depth whatsoever.  I never just want to play it for fun, because I felt there almost is no fun in this game.  In my opinion, if you are going to get a hack and slash action game GET BLADE OF DARKNESS.",BORING,989280000,,,
1.0,True,"03 15, 2017",A3MKO61QMJ8V6V,B000TSX3TS,Princess Lonal,"I do not recommend buying this used or new. New is too expensive for an old game and even used is expensive but you might get it broken or doesn't work or both. I happened to end up with broken drums, the guitar wouldn't turn on, the game case was broken at the corner, and I didn't even try the microphone since most of it was broken anyway. You're better off buying Rock Band 4 and not dealing with the hassle of this bull.",Broken and Defective,1489536000,,"{'Edition:': ' Special', 'Platform:': ' PlayStation 3'}",
1.0,False,"05 15, 2004",A35FWQ5WVL8QVH,B00006DY1K,Chris,DO NOT BUY THIS!! IT DOESNT COME WITH A CAR ADAPTER AND YOU CANT PLAY IT ANYWHERE BUT NEXT TO A TV!!! YOU NEED 2 WIRES GOING INTO THE WALL AND ONE GOING INTO THE TV AND ANOTHER GOING FROM XBOX TO THE MONITOR!!!!THE GRAPHICS ARE SO BLURRY IN HALO YOU CANT SEE THE COVENANT!!!!!DO NOT BUY THIS $170 PIECE OF CRAP!!!!!!YOU NEED A TV FOR THIS TO WORK TO WHATS THE POINT OF BUYING IT???(...),do not buy,1084579200,19,,
1.0,False,"06 26, 2012",APDUCWHP5J905,B00178630A,Julia S.,"Diablo 3 is nothing but a poor man's WoW. On higher difficulties, it's a constant gear check where nothing useful ever drops. There is little to no re-playability, there is no variety, the side quests and events are not interesting at all. The itemization makes most of the gear useless and not even worth putting on AH. The storyline and dialogue are mediocre and resemble Saturday morning cartoons, although D3 is rated M. If you can't afford buying off of AH, you have to grind indefinitely to progress in inferno. Difficulty levels vs. classes are completely dis-balanced.

Diablo 3 sold over 6 mil at launch, the sales that are solely based on the promise and reputation of the past games. The game itself has little of anything positive to offer on its on. After all this waiting and hype, we got a mediocre product that failed to meet our expectations and tarnished its developer's name.",Flop of the year,1340668800,8,{'Format:': ' Computer Game'},
1.0,True,"01 13, 2017",A1C1LFKPFP0ZJ0,B0167BDVD8,nightshade,"This battery was great at first, I got the battery and fully charged it. I noticed that the PSP was lasting a very long time on a full charge. The second charge was the same and I thought I had a real winner here, but during the third discharge cycle it completely died at around 72% and would never charge again. I have contacted the seller to see if they will honor the 1 year guarantee as this thing only lasted 3 charge cycles. Also be wary of the brand as well. Mine is a Cameron Sino with a CS on the back and other sellers are charging much less for the same battery and also calling this brand of battery a generic off-branded battery. I feel like for 16 bucks shipped this needs to be honored as a replacement from the seller MPF Products. Seller review is pending and will be totally dependant on how they handle this situation. While this is in play I will be looking for another battery and this one did fit great in a PSP 3001, but unfortunately it seems hit or miss.",Worked great for three charges,1484265600,8,,
1.0,False,"01 9, 2005",A33TBTZ39B56SX,B00005NCCR,PS2 addict,"this game starts out ok, then later becomes plain stupid. no plot at all, you don't know why you need to do this, why you have to go there, where should you go next. sure the action is fun until you face the annoying cat-like shadow creatures. i was literally wishing death to whoever designed these enemy while i was battling them. there are also secret missions which are nearly impossible to do. did they even test this game before they released it? don't buy this crap, get onimusha 2 or 3 instead.",started ok then hated it...,1105228800,2,{'Format:': ' Video Game'},
1.0,False,"05 3, 2016",A2XTVCHZHBHR8H,B00XUZBCIG,D. Williams,"This game has been going downhill for years. The more a terrible company like EA focuses on micro transactions and HUT cards for profit, the worse the actual game play becomes. I know there's plenty of obsessed kids out there with mom's credit card on file buying the latest stick and what not, and that is what drives modern video game profits. I'm OK with that, if the game itself stays intact, which in this case it has been stripped.

EASHL was core aspect of this game for years. Take out all the glitch goals, cheating and poor connection issues, the game was fun. Now they have stripped out any creativity and customization available. Your player now levels up instead of earning points to add to your build. Wait...build. That's gone too. No longer can you tweak your player to your liking or play style. You must enter a match up and pick from a previous built default player. What ever the rationale behind this was it failed. Weather to make things ""fair"" or they simply focused on their HUT money machine I'm not sure.

Once you play the game itself, the real disappointment sets in. Skating is slow and sloppy. You feel like gravity is multiplied and you are stuck in one place. Shooting is weak as well as the hits. Quick moves with the right stick are also no longer. I feel like the game went back to NHL 94 and stayed there with better graphics.

The AI is abysmal as well. As usual however. This is something that has always been bad.

This game has had its ups and downs over the years for sure. However, the pay for ratings and marketing always ensure a big launch with crazy new features raved about by the ""trusted reviewers "". Ever wonder how a game that isn't even out yet is ""sports game of the year""? Or 10/10 by IGN? I'm sure 17 won't disappoint. I'm sure the game of the year posters are already printed. Until another developer rescues us hockey fans, or 2k comes back, I will not play another day of this game.",Worst yet. EASHL ruined.,1462233600,,,
1.0,True,"03 1, 2016",A702VCGETYF81,B00RHI62IW,Fernando,"In a few days it's going to be a freaking MONTH since release and the online is STILL BROKEN, broken as in you literally can't find matches. It's sooo bad a lot of the time it won't even let you create matches, lets not talk about the lag. I am not the only one
[...]
I am on a 20MBPS connection and I lag like crazy only on this game. The game visuals are good, The gameplay is better than revolution but not as good as Storm 3 in my opinion. I am not a huge fan of they incresing the speed but the game is still fun. If it would work online would be great. BUT AS OF NOW for online this game is USELESS which is the only reason I buy them is to play against other people. I literally wait like an hour and a half on my laptop waiting for matches and if I get one that it lags if very rarely it doesn't lag but the last 2 days I tried i couldn't get any matches... WOW NEVER SEEN BROKEN ONLINE AT THIS LEVEL. SKIP THIS GAME UNTIL THE ONLINE IS FIXED UNLESS YOU PLAN ON PLAYING OFFLINE ONLY.",Been holding off on the Review but enough is ENOUGH!,1456790400,3,{'Format:': ' Video Game'},
1.0,False,"10 1, 2009",ATJF5QEVNMWIL,B002BSC55M,GamePlayer30,"The unit once opened is too thin to play comfortably for any 13+. Your older PSP games will not work with the Go. The price is 50 dollars too much. You rent all your games! The video game industry is really pushing to go in this direction and it is a true crying shame. As a collector and avid game player it is nice to pop in a game from the 70s into an old console and still play it. On the plus side, if the industry continues on this path, I am going to save thousands and thousands of dollars.",Waste of money,1254355200,11,{'Color:': ' Piano Black'},
1.0,False,"12 18, 2014",A3DQ3XOYAXESYE,B00JK00S0S,Steven Barth,"Slow and boring with CLUNKY controls and lame enemies. Story is average, I've seen much better stuff on TV. Graphics are pretty but it freezes like every 15 minutes. Please don't buy this.",Overrated.,1418860800,8,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,True,"10 29, 2011",ASWKB9SYC7D3S,B002I0H79C,DERVISH888,"I am / was a MASSIVE Gears of War fanatic. I pre-ordered this game 8 months before it came out. Alas... This game was the biggest let-down I've had on the 360 to date. Gears of War 3 is nowhere in comparison to the 1st and 2nd. This game felt half-assed with a gabillion cut corners. Being a major fan of the series, this was a massive blow. Not to mention 1200 MSP for Lancer skins, 1200 MSP for Sniper skins, etc. etc. Thanks for the fan support EPIC. You just couldn't give us something for free, huh???

I just don't see how so many people are supporting this game. The thing that scares me is that it was just announced that there may be 3 more prequels to the Gears series. With the amount of fanboy praise GOW3 has received, EPIC will likely make 3 more of the same half-assed, low-budget games that are identical to this one.

I'm amazed that people are so in LOVE with the Gears franchise that they will dismiss this awful finish to the series. Luckily I have my head on straight and can see a lemon from a mile away. Hopefully EPIC reads some of these bad reviews and tightens the prequels up like that of Gears of War and Gears of War 2. They knew they had a cash cow and that everyone would buy GOW3 no matter what they produced. And they were right.",Biggest disappointment on the 360,1319846400,9,{'Format:': ' Video Game'},
1.0,True,"08 10, 2016",AOGGWY3UUG9OL,B00HUWANOO,Joel,recived this 2 Days ago and the rubber grip is already loose!,$12 for 2 days of play,1470787200,,,
1.0,True,"06 23, 2015",A3OIN2JVYEB619,B003U4H06A,Ben Wren,My PSP does not work any more since I used this case,One Star,1435017600,,,
1.0,True,"07 10, 2017",A15M1BYQG9VN6K,B00007LV7Y,LP,"Game itself is 10/10.

BUT the game won't load at the 2nd level of the mall (otherworld). It gets to the pulsating loading screen, but won't load the next area. I've tried cleaning the cd and it still doesn't work.

Completely unsatisfied!",Won't load,1499644800,,,
1.0,False,"12 20, 2016",AX4OUOYP645H8,B01EZAA2ZI,Reach_Medic,"I didn't buy this through Amazon but that doesn't change the gameplay.  The graphics look good but nothing that wasn't expected.  The gameplay was the worst of all the last few COD (Call of Duty) games.  It seemed clunky and slow.  The lag on the servers was horrible with people melting you or shooting around corners. Probably the worst of any COD lately.  I had high hopes but they fell short.  The COD points ""salvage"" system is broken as ever... really they get over $100 from ppl now with just the game and the ""extra"" DLC that is really the basic package now a days... and then they want to continue to nickel and dime their faithful players to death with more ""extra content to purchase"" .... really what was the $50 season pass for ... this is nothing new the made a Billion from this same type of system last year so here they come again after our lunch money.  In short, the game is the worst they have put out in a while and the robot dog movement didn't help it.  MWR is ... I mean was worth the extra but not anymore as they have now killed it with the same money grubbing pay to get more content system... I think this will be the one that kills the franchise .... If they are not playing bots to keep the rooms full I am going to guess they will be. Good Bye COD it was fun while it lasted but Activision just could help themselves and ran the fanbase off...  I was a huge COD fan but I have already returned my copy this year was so bad and have NO plans to buy it next year.  They have no respect for their fan base ... they even act like this was our fault ... that we asked for CALL of Halo (Duty) .... BTW the first time I saw the commercial on TV, I really thought is was HALO.... hahaha no joke  what happens to COD and why is it in space with robot dogs???",Activision has killed the golden goose ... RIP-COD,1482192000,,"{'Edition:': ' Legacy', 'Platform:': ' PlayStation 4'}",
1.0,False,"07 5, 2016",A3CMOXEMOYP73C,B00ZM6I932,MarineSgt,If I can give This game a zero I would have this game is such a let down I rather play star ocean 3 this this piece of crap camera Angles suck characters look like rpg maker from play station one just overall bad game,Sucks,1467676800,5,{'Format:': ' Video Game'},
1.0,True,"10 23, 2017",A2FTMBW8Q53IHR,B002BU0DPE,hero 54123,"broke on me very fast, would not buy again",One Star,1508716800,,,
1.0,False,"01 6, 2014",A2TCG2HV1VJP6V,B00F6YIQFQ,Ryan Sil. (Gamer &amp; PC/Android indie dev),"If there's one thing Game Mill needs to figure out, it's that the Nintendo 3DS IS NOT A MOBILE PHONE. Cloudy with a Chance of Meatballs 2 is not a platformer or anything. No. It's a $20 carbon-copy of an extremely popular $1 mobile app.

Those that have played or seen Fruit Ninja know what to expect. You just hack and swish away with your stylus at the fruit that fly in the air and avoiding swiping at the dangerous-looking ones. IT'S FRUIT NINJA. Except it's divided into 36 levels. Each of the six worlds contains 4 levels that have you swipe to fill up a bar, 1 level where you gotta survive for one minute, and 1 level where you must slash down 10 of one fruit to succeed. Despite those slight changes to how the game is played, the formula is completely unharmed.

That is, except for the fact that while the top screen has polished graphics, the bottom screen contains the silhouettes of the fruit and giant icon buttons that you're familiar with from something like Angry Birds. And note that the bottom screen is where you swipe the stylus, not the top. WHY isn't the action on the top screen on the BOTTOM instead? Or better yet, WHY is this game a COMPLETE RIP-OFF of FRUIT NINJA!? You could do so much better with $20! In fact, you could just buy the legitimate Fruit Ninja on your phone for $1 and spend your $19 elsewhere.",Fruit Ninja 3DS,1388966400,2,,
1.0,True,"05 19, 2017",A3CLSULLPTL4Y2,B00UJ9LB6Y,Ero,"A pain in the behind to get this on completely, and requires you to take it off each time to put a game in :|",A pain in the behind to get this on completely ...,1495152000,,{'Color:': ' Black'},
1.0,False,"04 21, 2017",A2DVJCXF906P72,B00XWQZP9K,Javier Alvarado,"I'm a long time lover of the need for speed franchise, but it pains me to declare that this version is terrible.

For starers you won't be able to play the game if not connected to the internet. Then the cinematics take so long that by the time you should be ready to play, you are already bored. It's a shame that EA games have taken this path.",Painfull to Play,1492732800,,{'Format:': ' Video Game'},
1.0,False,"03 5, 2009",A1L7FA03KKDKUG,B001QTXMRC,Jabbakie Iscarioteanul,"I am a  Huge Total War fan. Bought all the Creative Ensemble Total War games, the expansion packs, the special editions , the soundtracks, the lot. I have reserved the Special Forces edition for in-store pickup at a major North American electronics retail chain . I had it in my hand, read the requirements on the back, and returned it to the amazed sales person. I feel like weeping, I wanted this games so much; but I would not compromise on my principles. Death to DRM, shame on you Sega for inflicting this upon your most loyal customers.",Returned due to Steam,1236211200,18,,
1.0,False,"03 10, 2010",A1IG2M6QVBOTV,B000FUONLM,Heather Larrabee,"When my friend told me about this game I got all excited and went onto Amazon to buy it. I got it today and I put the disk in my computer and it told me to get Medieval 2 Total War too use this. I am truly upset because I used my money and bought this game not knowing anything about what "" expansion pack"" means. Amazon did not tell anyone on this sight about needing the first version. So to finish this report, make sure that you buy or have the the first version to us it.",Don't buy this game yet!!!!!!!!!!!!!,1268179200,,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"07 14, 2009",A169CJ2NJQYIM6,B00175GC4U,007,"I put this game in and was initially very pleased. However, when I wanted to get online with my brother and play a tag-team match against the computer--you can't. The ONLY way you can play against a computer controlled opponent is by playing on the same console. I can not believe that any developer would be hair-brained enough to let this product out the door, but here it is. The most amazing bit of stupidity I have ever seen. Thanks for ruining the game.",Are you joking THQ??????,1247529600,,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,True,"02 21, 2017",A1FLK47MNLEN4C,B000S1MMDY,Ryan,Game disc was in horrible condition. Scratches all over it. Deep scratches not just surface scratches. Very disappointed.,Horrible product. Not as described.,1487635200,,{'Platform:': ' PlayStation2'},
1.0,True,"04 11, 2017",AJOEU72WBOOIM,B013P0HW7K,Cincinnatian,Unlike some of the other Razer products this was a disaster from a software standpoint on a Mac. Somehow it caused my old iMac to restart a few times and now it seems the bluetooth card won't work... interesting. Razer synapse would not pull up the information for the device either. I would say avoid on Apple... shame because could be a great piece of hardware but it is crippled.,Not for Apple...,1491868800,,{'Style:': ' Mechanical'},
1.0,False,"11 28, 2008",A1Y7VA4KHO755S,B001AWBYRA,R. Sweeney,"I've tried this game on 2 different PC's only 1 could run it and the other just locks up and blue screens, if it doesn't do that it will get a black screen and hangs.

On the system that it works on, I played through the single player and at first I was really disappointed, it got a little better in some missions but the whole campaign is disjointed and didn't flow at all. Most the time the enemies would popup and down like a duck hunt game. The final scene was good but the whole SP campaign was way too short.

Onto the multiplayer, could have been alright but most of the maps aren't that great, connectivity issues are huge and everyone I know can't get into a co-op match.

I ranked my way up and after a crash trying to quit the game I lost all my stats.

The sound is also messed up bad on Multiplayer (I have an XFI 7.1 sound card) you can't hear people around you and guns being shot 10 feet away sound like they are a mile away as do the grenades.

I have 2 9800's and the game won't run in SLI so my frame rates are 1/2 of what they should be.

Overall I wish I hadn't bought this game as it's like a beta that still needs fixing and for $50 + it shouldn't have all these problems.
I've been looking at other forums trying to fix all these issues and there are lot's of people having the same problems. My computers are way above the min spec and that isn't the reason why this game is so flaky.
They play Far Cry 2 and Left 4 Dead great as well as COD4 at max settings.

Issues aside I'd give the game a 2 out of 5 stars based on the SP campaign and the overall quality of the MP maps.

Counting in the flaky game play and no support from the game maker as of 11/28/08 3 weeks after release I give this 1 star. Also I'd like to add that up to now I've loved all the COD's that came before except COD 3 - also made by Trearch. If you like games not working right and trying everything under the sun to fix stuff you shouldn't have to even touch then you might have fun trying to fix stuff but it sucked what little fun there is in this game - out for me.

Update 12/30/2008 7 weeks after the game came out and no patches to fix the tons of issues people are reporting. This is the worst support I have ever seen in a COD game, the game's makers won't even respond to people's questions and users are left to search for help in the user forums that are filled with people that flame you when you post a legitimate question. The sound is so bad that I just quit playing, I have a XFI 5.1 sound system and the sound is not close to working right. I can't hear the other players movements and grenades and guns sound muffled and distant even when they are right next to me. The positional sound isn't right and makes for pure frustration.",Roll the dice,1227830400,26,{'Format:': ' Video Game'},
1.0,False,"10 30, 2017",A1LP4ZX15LDGGN,B00004WMVL,chad JJ,terrible game poor controls awful story bad script can't save process just everything is bad and poorly made is in this terrible abomination game,this game is so bad capcom doesn't even acknowledge this game exitance,1509321600,,{'Format:': ' Video Game'},
1.0,False,"06 25, 2011",A1ROUMJOGO4QMB,B001AH8YSW,Vegas Steve,"Ok, I thought this was a cool game.  But early on, somehow, I must have killed some sort of guard.  I swear I didn't, because it started happening right after I was done killing some monsters.  What, you say?  Ah, well, an near invincible head hunter follows and engages you at every load screen.  You can't buy him off... he just spawns again, or guards show up to finish you off.

Whatever moron thought this was a good idea should be strung up.",Frustrating!  Don't Buy,1308960000,3,{'Platform:': ' PC'},
1.0,True,"12 6, 2009",A22GTVN7Q9IZVT,B001ASJIRM,Adam Smithee,"This game is the equivalent of having you teeth pulled out by a pair of rusty, filthy pliers. It looks great, but the gameplay stinks. Here's why:

1) ""Super"" enemies- silenced pistols, rifles, it doesn't matter - 5-10 enemies will come from nowhere to swarm you.
2) Repetitive and dull. The designers went for the ""Grand Theft Auto"" type gameplay where you drive/walk around  for various assignments from different people. It fails miserably, however, as
  1) The vehicles are not fun to drive
  2) You'll spent over 40% of the game staring at a map to find out where you're going, taking you out of the
  environment.

I find it amazing that the company who made this game spent five years and a supposed ton of money doing it. The design is incredibly stupid and not fun to play. They obviously spent the majority of time focusing on the presentation/graphics, or were too inept to create a fun game behind all the eye candy.

Don't waste your money.","Looks real pretty, gameplay as atrocious",1260057600,,{'Format:': ' Video Game'},
1.0,False,"03 26, 2009",A20DZX38KRBIT8,B001E3VKHY,Deimos,"This game is garbage, don't support it.  This and TNA Impact are the final nail in Midways wooden box.  Hopefully a different company will by the mk rights and give this game the respect it deserves, mk that is.  Just go play some mugen it's what people actually want, it's 2d and way better than any mk since 1.",MK sells out,1238025600,3,{'Format:': ' Video Game'},
1.0,False,"02 22, 2015",A2D5OH2ZGSA2QQ,B0015HYPOO,johnodd,not bad but with recent updates to several titles the wheel now only works on Grand turismo and this game only tried it on daytona usa of which it use to work and even midnight club of which it also use to work now it only works in one game because logitech decided to rig it that way stay away from this nightmare,now blocked on over 100 games except for grand turismo,1424563200,,,
1.0,False,"02 16, 2013",A161SOPM7BR1BO,B0098QPPL6,MoonMayne,"I got banned from all servers becuase i was suspected of using a aimbot when it was a virus on my computer.  What ahppened was i got banned from one server so punk buster (the anti cheating system) banned me from  all the servers so anytime i join a server it says i was kicked by punkbuster for 99999 minutes (1600 hours) which is like a month all for something that wasn't my fault.  Very disapponited in this game.  I have seen hackers hack and get oveer 80 kills and 2 deaths and i get perma banned for a virus on my computer.

Dont buy this game noone is safe you can get banned at any given chance don't waste your money",AWEFULL banned from all servers read,1360972800,,"{'Edition:': ' Premium', 'Platform:': ' PC Download'}",
1.0,True,"02 26, 2015",A5JEO9I6A7X3A,B00OKK6URS,jaber,bad,One Star,1424908800,,,
1.0,True,"02 28, 2010",A3G1AAA1R6XY6D,B001COV1CY,Chipster,"I may be the only person in the world that does not have their PS3 hooked up to the internet, but regardless, even in I am not the only one, at no time while I was looking over the game on Amazon before I purchased it, did I find anyting saying ONLINE PLAY ONLY. That is to say, the PS3 must be able to connect to the Playstation Network. As a result, the game sits on the shelf, unable to be played, since I live where there is no high-speed internet access, if one can imagine such a thing in todays society, but there it is. So if you are like me, and do not have your PS3 hooked up to the internet, DO NOT BUY THIS GAME, you will not be able to play it at all.","Caution, Online play ONLY!!!!!!!!!",1267315200,8,,
1.0,True,"12 5, 2012",A2SN7UQOT3ZQBQ,B001D25M1Q,Magician,"I was once a fan of Obsidian.  I especially enjoyed Star Wars Knights of the Old Republic II.  I thought it was a better game than the first KotOR.  Sadly, Alpha Protocol was not an enjoyable experience like KotOR II was.

Apparently, not everything is better with Bacon.  (Kevin Bacon is the voice for the lead character here.)","The price was right, but this game is terrible.",1354665600,,{'Platform:': ' Xbox 360'},
1.0,False,"03 3, 2012",A2EPNURU9ZI9H5,B00121NF8U,HardCoreGamer,"I bought this cable assuming I would be able to play PSP games on my TV with it, but, when I get it I find that it only shows movies and other stuff on my TV...NOT GAMES!  DO NOT BUY THE AV CABLE if you want to play games on your TV with your PSP.  BUY THE COMPONENT CABLE which allows you to play games !",Doesn't Play Games,1330732800,2,,
1.0,True,"01 20, 2014",AOLKONLZ41H3T,B00B7Y5XVY,lombardog,"no instructions for installation, burnt out the circuit board installing this, and was poorly packaged, so the pins came bent, i would not buy these ever again, in fact your better off just buying a new board with this already attached",not worth it,1390176000,,,
